% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:03
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% H_cone (m)             R_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
1.25E-5                  2.0E-5                   1.7000000000000002       2.0652746917596184E-6
1.25E-5                  2.0E-5                   1.8                      2.07847577059956E-6
1.25E-5                  2.0E-5                   1.9000000000000001       2.09158863966516E-6
1.25E-5                  2.0E-5                   2                        2.1046710155420883E-6
1.25E-5                  2.0E-5                   5                        2.480060751054799E-6
1.25E-5                  2.0E-5                   10                       3.0407308211692417E-6
1.25E-5                  2.0E-5                   100                      8.661009555253634E-6
1.25E-5                  2.0E-5                   100                      8.661009555253634E-6
1.25E-5                  2.0E-5                   200                      1.2302781822072435E-5
1.25E-5                  2.0E-5                   300                      1.5098040262755239E-5
1.25E-5                  2.0E-5                   400                      1.7435754903479115E-5
1.25E-5                  2.0E-5                   500                      1.949234565836755E-5
1.25E-5                  2.0E-5                   600                      2.1355958035813124E-5
1.25E-5                  2.0E-5                   700                      2.3069508402874123E-5
1.25E-5                  2.0E-5                   800                      2.46631785967585E-5
1.25E-5                  2.0E-5                   900                      2.615802369159814E-5
1.25E-5                  2.0E-5                   1000                     2.7571179137874697E-5
1.25E-5                  2.0E-5                   2000                     3.898270017999608E-5
1.25E-5                  2.0E-5                   3000                     4.773976863804009E-5
1.25E-5                  2.0E-5                   4000                     5.5109445172833964E-5
1.25E-5                  2.0E-5                   5000                     6.160373577387337E-5
1.25E-5                  2.0E-5                   6000                     6.747781765885988E-5
1.25E-5                  2.0E-5                   7000                     7.287706273735672E-5
1.25E-5                  2.0E-5                   8000                     7.79007154039612E-5
1.25E-5                  2.0E-5                   9000                     8.260896171840557E-5
1.25E-5                  2.0E-5                   10000                    8.705551972295562E-5
1.25E-5                  2.0E-5                   20000                    1.2187816850206445E-4
1.25E-5                  2.0E-5                   30000                    1.4425590018336674E-4
1.25E-5                  2.0E-5                   40000                    1.5825586953567718E-4
1.25E-5                  2.0E-5                   50000                    1.6664058276582113E-4
1.25E-5                  2.0E-5                   60000                    1.713701544448693E-4
1.25E-5                  2.0E-5                   70000                    1.7390208721376418E-4
1.25E-5                  2.0E-5                   80000                    1.7509969813819364E-4
1.25E-5                  2.0E-5                   90000                    1.7565990842683218E-4
1.25E-5                  2.0E-5                   100000                   1.759196249469455E-4
1.25E-5                  2.0E-5                   110000                   1.759779350959769E-4
1.25E-5                  2.0E-5                   120000                   1.7604933103419396E-4
1.25E-5                  2.0E-5                   130000                   1.7615669617384046E-4
1.25E-5                  2.0E-5                   140000                   1.762450638256167E-4
1.25E-5                  2.0E-5                   150000                   1.7630030728804064E-4
1.25E-5                  2.0E-5                   160000                   1.763416963734692E-4
1.25E-5                  2.0E-5                   170000                   1.763675671541049E-4
1.25E-5                  2.0E-5                   180000                   1.76386578770545E-4
1.25E-5                  2.0E-5                   190000                   1.7639790432958012E-4
1.25E-5                  2.0E-5                   200000                   1.7640620266978166E-4
1.25E-5                  5.0E-5                   0                        0
1.25E-5                  5.0E-5                   0.1                      0
1.25E-5                  5.0E-5                   0.2                      0
1.25E-5                  5.0E-5                   0.30000000000000004      0
1.25E-5                  5.0E-5                   0.4                      0
1.25E-5                  5.0E-5                   0.5                      0
1.25E-5                  5.0E-5                   0.6000000000000001       0
1.25E-5                  5.0E-5                   0.7000000000000001       0
1.25E-5                  5.0E-5                   0.8                      0
1.25E-5                  5.0E-5                   0.9                      0
1.25E-5                  5.0E-5                   1                        1.099072310560313E-6
1.25E-5                  5.0E-5                   1.1                      2.0336620179089526E-6
1.25E-5                  5.0E-5                   1.2000000000000002       2.046826324517798E-6
1.25E-5                  5.0E-5                   1.3                      2.059944464857994E-6
1.25E-5                  5.0E-5                   1.4000000000000001       2.073018364823979E-6
1.25E-5                  5.0E-5                   1.5                      2.0860473843951E-6
1.25E-5                  5.0E-5                   1.6                      2.0990181595835113E-6
1.25E-5                  5.0E-5                   1.7000000000000002       2.1119570063255126E-6
1.25E-5                  5.0E-5                   1.8                      2.1248639940061853E-6
1.25E-5                  5.0E-5                   1.9000000000000001       2.1377307611236308E-6
1.25E-5                  5.0E-5                   2                        2.150491271918587E-6
1.25E-5                  5.0E-5                   5                        2.5176076232536902E-6
1.25E-5                  5.0E-5                   10                       3.068093573267478E-6
1.25E-5                  5.0E-5                   100                      8.659708347957397E-6
1.25E-5                  5.0E-5                   100                      8.659708347957397E-6
1.25E-5                  5.0E-5                   200                      1.2302521003041425E-5
1.25E-5                  5.0E-5                   300                      1.5102428537643106E-5
1.25E-5                  5.0E-5                   400                      1.7446914518136433E-5
1.25E-5                  5.0E-5                   500                      1.9504093457596024E-5
1.25E-5                  5.0E-5                   600                      2.1366552567929545E-5
1.25E-5                  5.0E-5                   700                      2.308121274469645E-5
1.25E-5                  5.0E-5                   800                      2.4676947883443976E-5
1.25E-5                  5.0E-5                   900                      2.617444229178545E-5
1.25E-5                  5.0E-5                   1000                     2.7589835704847297E-5
