% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:03
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% H_cone (m)             R_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
3.5000000000000004E-5    8.0E-5                   1                        1.1292737746121434E-6
3.5000000000000004E-5    8.0E-5                   1.1                      2.0862462067677953E-6
3.5000000000000004E-5    8.0E-5                   1.2000000000000002       2.1000311282882123E-6
3.5000000000000004E-5    8.0E-5                   1.3                      2.1137704555621276E-6
3.5000000000000004E-5    8.0E-5                   1.4000000000000001       2.127458515297543E-6
3.5000000000000004E-5    8.0E-5                   1.5                      2.1411118855495613E-6
3.5000000000000004E-5    8.0E-5                   1.6                      2.15469595620968E-6
3.5000000000000004E-5    8.0E-5                   1.7000000000000002       2.168240954093452E-6
3.5000000000000004E-5    8.0E-5                   1.8                      2.1817535376829334E-6
3.5000000000000004E-5    8.0E-5                   1.9000000000000001       2.195233769998489E-6
3.5000000000000004E-5    8.0E-5                   2                        2.208658719429243E-6
3.5000000000000004E-5    8.0E-5                   5                        2.5933760831643724E-6
3.5000000000000004E-5    8.0E-5                   10                       3.171037162824763E-6
3.5000000000000004E-5    8.0E-5                   100                      9.004166634400021E-6
3.5000000000000004E-5    8.0E-5                   100                      9.004166634400021E-6
3.5000000000000004E-5    8.0E-5                   200                      1.2790998778060621E-5
3.5000000000000004E-5    8.0E-5                   300                      1.569752121189131E-5
3.5000000000000004E-5    8.0E-5                   400                      1.813670448142125E-5
3.5000000000000004E-5    8.0E-5                   500                      2.027507524047161E-5
3.5000000000000004E-5    8.0E-5                   600                      2.2206962836544808E-5
3.5000000000000004E-5    8.0E-5                   700                      2.3986817973972332E-5
3.5000000000000004E-5    8.0E-5                   800                      2.5644015850159947E-5
3.5000000000000004E-5    8.0E-5                   900                      2.7199850107425906E-5
3.5000000000000004E-5    8.0E-5                   1000                     2.8669849907117706E-5
3.5000000000000004E-5    8.0E-5                   2000                     4.052729243448365E-5
3.5000000000000004E-5    8.0E-5                   3000                     4.9610604359567024E-5
3.5000000000000004E-5    8.0E-5                   4000                     5.724313259486705E-5
3.5000000000000004E-5    8.0E-5                   5000                     6.392734475904625E-5
3.5000000000000004E-5    8.0E-5                   6000                     6.993609590355303E-5
3.5000000000000004E-5    8.0E-5                   7000                     7.54148951279394E-5
3.5000000000000004E-5    8.0E-5                   8000                     8.045929976957979E-5
3.5000000000000004E-5    8.0E-5                   9000                     8.513667015910812E-5
3.5000000000000004E-5    8.0E-5                   10000                    8.949914868636306E-5
3.5000000000000004E-5    8.0E-5                   20000                    1.211848863984182E-4
3.5000000000000004E-5    8.0E-5                   30000                    1.385645550438389E-4
3.5000000000000004E-5    8.0E-5                   40000                    1.4764586169770049E-4
3.5000000000000004E-5    8.0E-5                   50000                    1.520303031944612E-4
3.5000000000000004E-5    8.0E-5                   60000                    1.540800451511983E-4
3.5000000000000004E-5    8.0E-5                   70000                    1.551937216699088E-4
3.5000000000000004E-5    8.0E-5                   80000                    1.5594490476484324E-4
3.5000000000000004E-5    8.0E-5                   90000                    1.561826446156281E-4
3.5000000000000004E-5    8.0E-5                   100000                   1.5629834408014879E-4
3.5000000000000004E-5    8.0E-5                   110000                   1.563134591957775E-4
3.5000000000000004E-5    8.0E-5                   120000                   1.5626206199641175E-4
3.5000000000000004E-5    8.0E-5                   130000                   1.5621019335570793E-4
3.5000000000000004E-5    8.0E-5                   140000                   1.5618780995032685E-4
3.5000000000000004E-5    8.0E-5                   150000                   1.5616704626272875E-4
3.5000000000000004E-5    8.0E-5                   160000                   1.56158001774835E-4
3.5000000000000004E-5    8.0E-5                   170000                   1.5614960158033572E-4
3.5000000000000004E-5    8.0E-5                   180000                   1.5614602655052867E-4
3.5000000000000004E-5    8.0E-5                   190000                   1.5614271689322153E-4
3.5000000000000004E-5    8.0E-5                   200000                   1.5614131616870555E-4
