family,R,H,SA,V,n_t2000,n_t15000,n_t134900,n_eq,pct_eq_t15000,early_leadership_share,SA_V,L_c
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9431,0.0,21071.0273,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9735,0.0,21362.6154,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.8999,0.0,20379.6204,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9606,0.0,20947.6309,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.0338,0.0,21513.9442,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.0948,0.0,22078.5679,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.1555,0.0,22641.5094,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.8933,0.0,20717.1315,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.1235,0.0,21782.1782,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.3703,0.0,22834.6457,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.6084,0.0,23874.7554,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.8445,0.0,24902.7237,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.3263,0.0,21463.4146,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.7324,0.0,23529.4118,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.6956,0.0,25454.5455,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002,60.8102,0.0,27252.7473,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002,61.9311,0.0,28936.1702,0.0
square_pillars,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,56.818,0.0,21804.5113,0.0
square_pillars,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,56.3256,0.0,24137.931,0.0
square_pillars,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002,57.2223,0.0,26114.6497,0.0
square_pillars,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002,58.6638,0.0,27810.6509,0.0
square_pillars,0.0001,0.0,0.0,0.0,0.0001,0.0002,0.0003,0.0003,60.3177,1.0,29281.768,0.0
