% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 27 2026, 14:14
% Table:              Table 3 - Global Evaluation 2 (n_CO2_film)
% R_texture (m)          H_cone (m)               t (s)                    Total moles of CO2 captured per unit cell (mol)
8.0E-5                   5.0E-6                   300                      1.5020214224823729E-5
8.0E-5                   5.0E-6                   400                      1.7354706987594194E-5
8.0E-5                   5.0E-6                   500                      1.941525083147909E-5
8.0E-5                   5.0E-6                   600                      2.1271651896766166E-5
8.0E-5                   5.0E-6                   700                      2.2975067776753325E-5
8.0E-5                   5.0E-6                   800                      2.4559213315515456E-5
8.0E-5                   5.0E-6                   900                      2.604445207002364E-5
8.0E-5                   5.0E-6                   1000                     2.7448725902419238E-5
8.0E-5                   5.0E-6                   2000                     3.882516925073805E-5
8.0E-5                   5.0E-6                   3000                     4.756503789861142E-5
8.0E-5                   5.0E-6                   4000                     5.491550052092957E-5
8.0E-5                   5.0E-6                   5000                     6.138489372100445E-5
8.0E-5                   5.0E-6                   6000                     6.725260011475836E-5
8.0E-5                   5.0E-6                   7000                     7.264929813131802E-5
8.0E-5                   5.0E-6                   8000                     7.76591898514121E-5
8.0E-5                   5.0E-6                   9000                     8.235826675752742E-5
8.0E-5                   5.0E-6                   10000                    8.679519696881032E-5
8.0E-5                   5.0E-6                   20000                    1.214672065158079E-4
8.0E-5                   5.0E-6                   30000                    1.4347122415533296E-4
8.0E-5                   5.0E-6                   40000                    1.5681117976654516E-4
8.0E-5                   5.0E-6                   50000                    1.6445870843076214E-4
8.0E-5                   5.0E-6                   60000                    1.6865981524587955E-4
8.0E-5                   5.0E-6                   70000                    1.7090134967446256E-4
8.0E-5                   5.0E-6                   80000                    1.7212980422555394E-4
8.0E-5                   5.0E-6                   90000                    1.728069772572244E-4
8.0E-5                   5.0E-6                   100000                   1.7322081143701212E-4
8.0E-5                   5.0E-6                   110000                   1.735193954705382E-4
8.0E-5                   5.0E-6                   120000                   1.7370912056923206E-4
8.0E-5                   5.0E-6                   130000                   1.7383236572285276E-4
8.0E-5                   5.0E-6                   140000                   1.7389314887955676E-4
8.0E-5                   5.0E-6                   150000                   1.7393138563568487E-4
8.0E-5                   5.0E-6                   160000                   1.739388469969644E-4
8.0E-5                   5.0E-6                   170000                   1.7394405468841172E-4
8.0E-5                   5.0E-6                   180000                   1.7393890454433294E-4
8.0E-5                   5.0E-6                   190000                   1.7393572934234553E-4
8.0E-5                   5.0E-6                   200000                   1.7393072056427205E-4
8.0E-5                   1.25E-5                  0                        0
8.0E-5                   1.25E-5                  0.1                      0
8.0E-5                   1.25E-5                  0.2                      0
8.0E-5                   1.25E-5                  0.30000000000000004      0
8.0E-5                   1.25E-5                  0.4                      0
8.0E-5                   1.25E-5                  0.5                      0
8.0E-5                   1.25E-5                  0.6000000000000001       0
8.0E-5                   1.25E-5                  0.7000000000000001       0
8.0E-5                   1.25E-5                  0.8                      0
8.0E-5                   1.25E-5                  0.9                      0
8.0E-5                   1.25E-5                  1                        9.435715830241336E-7
8.0E-5                   1.25E-5                  1.1                      1.7659075879130374E-6
8.0E-5                   1.25E-5                  1.2000000000000002       1.781217654737308E-6
8.0E-5                   1.25E-5                  1.3                      1.7963580834802543E-6
8.0E-5                   1.25E-5                  1.4000000000000001       1.8114164125648134E-6
8.0E-5                   1.25E-5                  1.5                      1.826408473316544E-6
8.0E-5                   1.25E-5                  1.6                      1.8413495283301948E-6
8.0E-5                   1.25E-5                  1.7000000000000002       1.8561660062057704E-6
8.0E-5                   1.25E-5                  1.8                      1.870914616251898E-6
8.0E-5                   1.25E-5                  1.9000000000000001       1.88561806115294E-6
8.0E-5                   1.25E-5                  2                        1.9002764283889678E-6
8.0E-5                   1.25E-5                  5                        2.3127327786380403E-6
8.0E-5                   1.25E-5                  10                       2.916362290100484E-6
8.0E-5                   1.25E-5                  100                      8.672688089741169E-6
8.0E-5                   1.25E-5                  100                      8.672688089741169E-6
8.0E-5                   1.25E-5                  200                      1.2315892915699142E-5
8.0E-5                   1.25E-5                  300                      1.5096274438354955E-5
8.0E-5                   1.25E-5                  400                      1.7442384432469856E-5
8.0E-5                   1.25E-5                  500                      1.9512986362796662E-5
8.0E-5                   1.25E-5                  600                      2.1378077764867057E-5
8.0E-5                   1.25E-5                  700                      2.3089521639643144E-5
8.0E-5                   1.25E-5                  800                      2.468093218227833E-5
8.0E-5                   1.25E-5                  900                      2.617311093295233E-5
8.0E-5                   1.25E-5                  1000                     2.7584045821946713E-5
8.0E-5                   1.25E-5                  2000                     3.901373403439418E-5
8.0E-5                   1.25E-5                  3000                     4.7793027123803164E-5
8.0E-5                   1.25E-5                  4000                     5.517461801490692E-5
8.0E-5                   1.25E-5                  5000                     6.167176513276555E-5
8.0E-5                   1.25E-5                  6000                     6.756428770987188E-5
8.0E-5                   1.25E-5                  7000                     7.298033397929033E-5
8.0E-5                   1.25E-5                  8000                     7.800685426209304E-5
8.0E-5                   1.25E-5                  9000                     8.271827578221825E-5
8.0E-5                   1.25E-5                  10000                    8.716254119453845E-5
8.0E-5                   1.25E-5                  20000                    1.214940369412573E-4
8.0E-5                   1.25E-5                  30000                    1.4258161344621748E-4
8.0E-5                   1.25E-5                  40000                    1.5489731909811114E-4
8.0E-5                   1.25E-5                  50000                    1.6168473390826252E-4
8.0E-5                   1.25E-5                  60000                    1.652540733062642E-4
8.0E-5                   1.25E-5                  70000                    1.6706469807412083E-4
8.0E-5                   1.25E-5                  80000                    1.680401856214483E-4
8.0E-5                   1.25E-5                  90000                    1.6858913577621912E-4
8.0E-5                   1.25E-5                  100000                   1.6891497392692437E-4
8.0E-5                   1.25E-5                  110000                   1.6916170245045818E-4
8.0E-5                   1.25E-5                  120000                   1.6931738786921834E-4
8.0E-5                   1.25E-5                  130000                   1.6941434884292452E-4
8.0E-5                   1.25E-5                  140000                   1.6946161364211253E-4
8.0E-5                   1.25E-5                  150000                   1.694889693441249E-4
8.0E-5                   1.25E-5                  160000                   1.6949327675503097E-4
8.0E-5                   1.25E-5                  170000                   1.69495424407405E-4
8.0E-5                   1.25E-5                  180000                   1.6949041381195397E-4
8.0E-5                   1.25E-5                  190000                   1.6948706884328615E-4
8.0E-5                   1.25E-5                  200000                   1.6948293251668403E-4
8.0E-5                   2.0E-5                   0                        0
8.0E-5                   2.0E-5                   0.1                      0
8.0E-5                   2.0E-5                   0.2                      0
8.0E-5                   2.0E-5                   0.30000000000000004      0
8.0E-5                   2.0E-5                   0.4                      0
8.0E-5                   2.0E-5                   0.5                      0
8.0E-5                   2.0E-5                   0.6000000000000001       0
8.0E-5                   2.0E-5                   0.7000000000000001       0
8.0E-5                   2.0E-5                   0.8                      0
8.0E-5                   2.0E-5                   0.9                      0
8.0E-5                   2.0E-5                   1                        9.79630064485204E-7
8.0E-5                   2.0E-5                   1.1                      1.8324198528716804E-6
8.0E-5                   2.0E-5                   1.2000000000000002       1.8476110819236566E-6
8.0E-5                   2.0E-5                   1.3                      1.862629488231405E-6
8.0E-5                   2.0E-5                   1.4000000000000001       1.877566140352398E-6
8.0E-5                   2.0E-5                   1.5                      1.8924380362247377E-6
8.0E-5                   2.0E-5                   1.6                      1.9072595674620521E-6
8.0E-5                   2.0E-5                   1.7000000000000002       1.921955575805142E-6
8.0E-5                   2.0E-5                   1.8                      1.9365872605139273E-6
8.0E-5                   2.0E-5                   1.9000000000000001       1.951174376160297E-6
8.0E-5                   2.0E-5                   2                        1.965717008612366E-6
8.0E-5                   2.0E-5                   5                        2.375055984075779E-6
8.0E-5                   2.0E-5                   10                       2.974819845350428E-6
8.0E-5                   2.0E-5                   100                      8.751601878190777E-6
8.0E-5                   2.0E-5                   100                      8.751601878190777E-6
8.0E-5                   2.0E-5                   200                      1.242715181084444E-5
8.0E-5                   2.0E-5                   300                      1.5233546382289035E-5
8.0E-5                   2.0E-5                   400                      1.7601324892405534E-5
8.0E-5                   2.0E-5                   500                      1.9681031941914334E-5
8.0E-5                   2.0E-5                   600                      2.156523337538766E-5
8.0E-5                   2.0E-5                   700                      2.3294399678927054E-5
8.0E-5                   2.0E-5                   800                      2.4902413473246347E-5
8.0E-5                   2.0E-5                   900                      2.6410622900530875E-5
8.0E-5                   2.0E-5                   1000                     2.7836327320199254E-5
8.0E-5                   2.0E-5                   2000                     3.9362534086856284E-5
8.0E-5                   2.0E-5                   3000                     4.819758134857924E-5
8.0E-5                   2.0E-5                   4000                     5.565394696561607E-5
8.0E-5                   2.0E-5                   5000                     6.221581663929986E-5
8.0E-5                   2.0E-5                   6000                     6.814735763808218E-5
8.0E-5                   2.0E-5                   7000                     7.359699877123845E-5
8.0E-5                   2.0E-5                   8000                     7.865485869214766E-5
8.0E-5                   2.0E-5                   9000                     8.338688226722156E-5
8.0E-5                   2.0E-5                   10000                    8.784556930724662E-5
8.0E-5                   2.0E-5                   20000                    1.2164079956772509E-4
8.0E-5                   2.0E-5                   30000                    1.4160267430269935E-4
8.0E-5                   2.0E-5                   40000                    1.52772845047687E-4
8.0E-5                   2.0E-5                   50000                    1.5866956279517573E-4
8.0E-5                   2.0E-5                   60000                    1.6165687196617302E-4
8.0E-5                   2.0E-5                   70000                    1.6316747727719054E-4
8.0E-5                   2.0E-5                   80000                    1.6394630971278435E-4
8.0E-5                   2.0E-5                   90000                    1.6439031322126014E-4
8.0E-5                   2.0E-5                   100000                   1.6469410100235853E-4
8.0E-5                   2.0E-5                   110000                   1.6486973258560884E-4
8.0E-5                   2.0E-5                   120000                   1.6496486885921702E-4
8.0E-5                   2.0E-5                   130000                   1.6502291503820452E-4
8.0E-5                   2.0E-5                   140000                   1.6504677604223494E-4
8.0E-5                   2.0E-5                   150000                   1.6505636205736327E-4
8.0E-5                   2.0E-5                   160000                   1.650519120276868E-4
8.0E-5                   2.0E-5                   170000                   1.650483811617396E-4
8.0E-5                   2.0E-5                   180000                   1.650419541683607E-4
8.0E-5                   2.0E-5                   190000                   1.6503780165257292E-4
8.0E-5                   2.0E-5                   200000                   1.6503471815422E-4
8.0E-5                   2.75E-5                  0                        0
8.0E-5                   2.75E-5                  0.1                      0
8.0E-5                   2.75E-5                  0.2                      0
8.0E-5                   2.75E-5                  0.30000000000000004      0
8.0E-5                   2.75E-5                  0.4                      0
8.0E-5                   2.75E-5                  0.5                      0
8.0E-5                   2.75E-5                  0.6000000000000001       0
8.0E-5                   2.75E-5                  0.7000000000000001       0
8.0E-5                   2.75E-5                  0.8                      0
8.0E-5                   2.75E-5                  0.9                      0
8.0E-5                   2.75E-5                  1                        9.781060850903246E-7
8.0E-5                   2.75E-5                  1.1                      1.8199814015123325E-6
8.0E-5                   2.75E-5                  1.2000000000000002       1.8354007500824724E-6
8.0E-5                   2.75E-5                  1.3                      1.8507455615245157E-6
8.0E-5                   2.75E-5                  1.4000000000000001       1.8660047192475145E-6
8.0E-5                   2.75E-5                  1.5                      1.8811987337214843E-6
8.0E-5                   2.75E-5                  1.6                      1.8963408081297684E-6
8.0E-5                   2.75E-5                  1.7000000000000002       1.9113526118123035E-6
8.0E-5                   2.75E-5                  1.8                      1.9262993208505475E-6
8.0E-5                   2.75E-5                  1.9000000000000001       1.9412001838919546E-6
8.0E-5                   2.75E-5                  2                        1.9560552882027553E-6
8.0E-5                   2.75E-5                  5                        2.3742789266165954E-6
8.0E-5                   2.75E-5                  10                       2.9860158160710077E-6
8.0E-5                   2.75E-5                  100                      8.862449615455572E-6
8.0E-5                   2.75E-5                  100                      8.862449615455572E-6
8.0E-5                   2.75E-5                  200                      1.2587969166008753E-5
8.0E-5                   2.75E-5                  300                      1.542987613269971E-5
8.0E-5                   2.75E-5                  400                      1.7828958904152387E-5
8.0E-5                   2.75E-5                  500                      1.9934675124590167E-5
8.0E-5                   2.75E-5                  600                      2.184332145426736E-5
8.0E-5                   2.75E-5                  700                      2.359502182711626E-5
8.0E-5                   2.75E-5                  800                      2.52237792008455E-5
8.0E-5                   2.75E-5                  900                      2.6751370344757182E-5
8.0E-5                   2.75E-5                  1000                     2.8195116369952937E-5
8.0E-5                   2.75E-5                  2000                     3.986485045035575E-5
8.0E-5                   2.75E-5                  3000                     4.880482924312074E-5
8.0E-5                   2.75E-5                  4000                     5.634744343966123E-5
8.0E-5                   2.75E-5                  5000                     6.297743139281384E-5
8.0E-5                   2.75E-5                  6000                     6.896183808672787E-5
8.0E-5                   2.75E-5                  7000                     7.444663429056228E-5
8.0E-5                   2.75E-5                  8000                     7.952292924138598E-5
8.0E-5                   2.75E-5                  9000                     8.425490698144543E-5
8.0E-5                   2.75E-5                  10000                    8.869331736262546E-5
8.0E-5                   2.75E-5                  20000                    1.2161668885756224E-4
8.0E-5                   2.75E-5                  30000                    1.4026776783309365E-4
8.0E-5                   2.75E-5                  40000                    1.5031980733964514E-4
8.0E-5                   2.75E-5                  50000                    1.554487885562493E-4
8.0E-5                   2.75E-5                  60000                    1.5796639130465927E-4
8.0E-5                   2.75E-5                  70000                    1.591168055177887E-4
8.0E-5                   2.75E-5                  80000                    1.5972083151279357E-4
8.0E-5                   2.75E-5                  90000                    1.6007694935655042E-4
8.0E-5                   2.75E-5                  100000                   1.603202904582747E-4
8.0E-5                   2.75E-5                  110000                   1.603989734290458E-4
8.0E-5                   2.75E-5                  120000                   1.6047559619334224E-4
8.0E-5                   2.75E-5                  130000                   1.6050781827311702E-4
8.0E-5                   2.75E-5                  140000                   1.6053920295050988E-4
8.0E-5                   2.75E-5                  150000                   1.6055251165344574E-4
8.0E-5                   2.75E-5                  160000                   1.6056548080070233E-4
8.0E-5                   2.75E-5                  170000                   1.6057093415255188E-4
8.0E-5                   2.75E-5                  180000                   1.6057624656554126E-4
8.0E-5                   2.75E-5                  190000                   1.6057849538173938E-4
8.0E-5                   2.75E-5                  200000                   1.6058068678749337E-4
8.0E-5                   3.5000000000000004E-5    0                        0
8.0E-5                   3.5000000000000004E-5    0.1                      0
8.0E-5                   3.5000000000000004E-5    0.2                      0
8.0E-5                   3.5000000000000004E-5    0.30000000000000004      0
8.0E-5                   3.5000000000000004E-5    0.4                      0
8.0E-5                   3.5000000000000004E-5    0.5                      0
8.0E-5                   3.5000000000000004E-5    0.6000000000000001       0
8.0E-5                   3.5000000000000004E-5    0.7000000000000001       0
8.0E-5                   3.5000000000000004E-5    0.8                      0
8.0E-5                   3.5000000000000004E-5    0.9                      0
8.0E-5                   3.5000000000000004E-5    1                        9.9352692171173E-7
8.0E-5                   3.5000000000000004E-5    1.1                      1.8489711946408451E-6
8.0E-5                   3.5000000000000004E-5    1.2000000000000002       1.8646822874546597E-6
8.0E-5                   3.5000000000000004E-5    1.3                      1.8803175147476292E-6
8.0E-5                   3.5000000000000004E-5    1.4000000000000001       1.895864979195751E-6
8.0E-5                   3.5000000000000004E-5    1.5                      1.91134636988279E-6
8.0E-5                   3.5000000000000004E-5    1.6                      1.926774591357677E-6
8.0E-5                   3.5000000000000004E-5    1.7000000000000002       1.942068357063185E-6
8.0E-5                   3.5000000000000004E-5    1.8                      1.957297516081545E-6
8.0E-5                   3.5000000000000004E-5    1.9000000000000001       1.972479695065354E-6
8.0E-5                   3.5000000000000004E-5    2                        1.987614983057033E-6
8.0E-5                   3.5000000000000004E-5    5                        2.4136027727663996E-6
8.0E-5                   3.5000000000000004E-5    10                       3.0362255304544818E-6
8.0E-5                   3.5000000000000004E-5    100                      9.010223719588082E-6
8.0E-5                   3.5000000000000004E-5    100                      9.010223719588082E-6
8.0E-5                   3.5000000000000004E-5    200                      1.2796908549272519E-5
8.0E-5                   3.5000000000000004E-5    300                      1.5685699989131024E-5
8.0E-5                   3.5000000000000004E-5    400                      1.8124068867548635E-5
8.0E-5                   3.5000000000000004E-5    500                      2.0264307893523995E-5
8.0E-5                   3.5000000000000004E-5    600                      2.2204029657008917E-5
8.0E-5                   3.5000000000000004E-5    700                      2.3984113008169553E-5
8.0E-5                   3.5000000000000004E-5    800                      2.563919135854548E-5
8.0E-5                   3.5000000000000004E-5    900                      2.7191383591539867E-5
8.0E-5                   3.5000000000000004E-5    1000                     2.865835040806456E-5
8.0E-5                   3.5000000000000004E-5    2000                     4.0512655319535095E-5
8.0E-5                   3.5000000000000004E-5    3000                     4.9584828498551324E-5
8.0E-5                   3.5000000000000004E-5    4000                     5.722129981956976E-5
8.0E-5                   3.5000000000000004E-5    5000                     6.390987767917938E-5
8.0E-5                   3.5000000000000004E-5    6000                     6.991964662482175E-5
8.0E-5                   3.5000000000000004E-5    7000                     7.539968574133878E-5
8.0E-5                   3.5000000000000004E-5    8000                     8.044464804189995E-5
8.0E-5                   3.5000000000000004E-5    9000                     8.512278606788108E-5
8.0E-5                   3.5000000000000004E-5    10000                    8.948823573895897E-5
8.0E-5                   3.5000000000000004E-5    20000                    1.2117164562535476E-4
8.0E-5                   3.5000000000000004E-5    30000                    1.3856238256869643E-4
8.0E-5                   3.5000000000000004E-5    40000                    1.476257395570039E-4
8.0E-5                   3.5000000000000004E-5    50000                    1.520253416941643E-4
8.0E-5                   3.5000000000000004E-5    60000                    1.5410966611044207E-4
8.0E-5                   3.5000000000000004E-5    70000                    1.5524522564728936E-4
8.0E-5                   3.5000000000000004E-5    80000                    1.5597594064549274E-4
8.0E-5                   3.5000000000000004E-5    90000                    1.5626062582675015E-4
8.0E-5                   3.5000000000000004E-5    100000                   1.563235102649925E-4
8.0E-5                   3.5000000000000004E-5    110000                   1.563369276516464E-4
8.0E-5                   3.5000000000000004E-5    120000                   1.5628374560164293E-4
8.0E-5                   3.5000000000000004E-5    130000                   1.5622629598242155E-4
8.0E-5                   3.5000000000000004E-5    140000                   1.5619622101954795E-4
8.0E-5                   3.5000000000000004E-5    150000                   1.5617297671825808E-4
8.0E-5                   3.5000000000000004E-5    160000                   1.561610184553404E-4
8.0E-5                   3.5000000000000004E-5    170000                   1.561518763671439E-4
8.0E-5                   3.5000000000000004E-5    180000                   1.561471841420359E-4
8.0E-5                   3.5000000000000004E-5    190000                   1.5614360227066807E-4
8.0E-5                   3.5000000000000004E-5    200000                   1.5614176466476892E-4
