family,volume_type,R,H,SA,V,n_t500,n_t2000,n_t15000,n_near_eq,n_eq,n_eq_per_V,pct_eq_t15000,early_leadership_share,SA_V,L_c,n_t500_kg,n_t2000_kg,n_t15000_kg,n_near_eq_kg,n_eq_kg,n_eq_per_V_kg
square_recessed,removed,2e-05,2.75e-05,1.110000000000026e-08,4.889999999999987e-13,2.1432375851513687e-05,4.258154270510158e-05,0.0001102458146391813,0.00017300610451168242,0.00017300610451168242,353795714.74781775,63.72365585038465,0.0,22699.386503068075,4.405405405405291e-05,9.432388612251174e-07,1.8740136944515205e-06,4.851918302270369e-06,7.613998659559143e-06,7.613998659559143e-06,15570549.406051459
square_recessed,removed,2e-05,3.5e-05,1.1400000000000261e-08,4.859999999999987e-13,2.2061918637740002e-05,4.38740467250049e-05,0.00011181029221492847,0.00017193652763088769,0.00017193652763088769,353778863.43804145,65.02998156096426,0.0,23456.790123457387,4.2631578947367334e-05,9.709450392469375e-07,1.9308967963674656e-06,4.9207709603790024e-06,7.566926581035367e-06,7.566926581035367e-06,15569807.779908204
square_recessed,removed,5e-05,5e-06,1.0499999999999982e-08,4.87499999999999e-13,1.995216044826127e-05,3.953586820546253e-05,0.000104956567346477,0.00017247565614947205,0.00017247565614947205,353796217.7425075,60.85297466879547,0.0,21538.461538461546,4.6428571428571416e-05,8.780945813279785e-07,1.7399735597224058e-06,4.619138528918453e-06,7.590653627138265e-06,7.590653627138265e-06,15570571.542847756
square_recessed,removed,5e-05,1.25e-05,1.1250000000000208e-08,4.687499999999985e-13,2.1337370142547274e-05,4.1833145191374146e-05,0.00010792786348953831,0.00016584132267707328,0.00016584132267707328,353794821.7110908,65.07899343018131,0.0,24000.00000000052,4.166666666666576e-05,9.390576599735055e-07,1.8410767198723761e-06,4.749905272174581e-06,7.298676611017995e-06,7.298676611017995e-06,15570510.103505107
square_recessed,removed,5e-05,2e-05,1.1999999999999906e-08,4.49999999999999e-13,2.282946982793546e-05,4.468527790415337e-05,0.00011138823133936896,0.00015920480632304412,0.00015920480632304412,353788458.4956544,69.96536970959907,0.0,26666.666666666515,3.7500000000000214e-05,1.0047249671274396e-06,1.9665990805617895e-06,4.902196061245628e-06,7.0066035262771715e-06,7.0066035262771715e-06,15570230.05839375
square_recessed,removed,5e-05,2.75e-05,1.2749999999999836e-08,4.3124999999999905e-13,2.4323941245368875e-05,4.771624788529748e-05,0.00011340744962771285,0.00015256631303677866,0.00015256631303677866,353776957.766444,74.33321771390916,0.0,29565.217391304035,3.382352941176507e-05,1.0704966542086842e-06,2.099992069431942e-06,4.991061858115643e-06,6.714443436748629e-06,6.714443436748629e-06,15569723.911301201
square_recessed,removed,5e-05,3.5e-05,1.350000000000001e-08,4.124999999999991e-13,2.5830854425086217e-05,5.064078549405162e-05,0.00011238183865893405,0.00014592843057294902,0.00014592843057294902,353765892.298059,77.0116133077679,0.0,32727.272727272823,3.0555555555555466e-05,1.1368159032480443e-06,2.228700969593212e-06,4.9459247193796875e-06,6.4223102295154865e-06,6.4223102295154865e-06,15569236.920037577
square_recessed,removed,8e-05,5e-06,1.0800000000000016e-08,4.679999999999985e-13,2.02796818668914e-05,3.997091106146223e-05,0.00010518252977543191,0.00016559205020285063,0.00016559205020285063,353829167.10010934,63.51906969361335,0.0,23076.923076923184,4.333333333333313e-05,8.925087989618906e-07,1.7591197958149528e-06,4.629083135416759e-06,7.287706129427456e-06,7.287706129427456e-06,15572021.644075813
square_recessed,removed,8e-05,1.25e-05,1.1999999999999892e-08,4.199999999999991e-13,2.248703314165561e-05,4.359521432906347e-05,0.00010852511534430264,0.00014858844648755508,0.00014858844648755508,353782015.44656044,73.03738474269068,0.0,28571.428571428376,3.500000000000024e-05,9.896543285642634e-07,1.918625382622083e-06,4.776190326302759e-06,6.539377529917299e-06,6.539377529917299e-06,15569946.499803126
square_recessed,removed,8e-05,2e-05,1.32e-08,3.71999999999999e-13,2.486641197832087e-05,4.809360602689651e-05,0.0001102950271778206,0.0001316019726212822,0.0001316019726212822,353768743.6055982,83.80955466011312,0.0,35483.870967742034,2.8181818181818107e-05,1.0943707911659014e-06,2.1165996012437154e-06,4.854084146095885e-06,5.7918028150626295e-06,5.7918028150626295e-06,15569362.406082377
