geometry,R,H,k,r2_early,t_cross,n_eq,t_fit_start,t_fit_window,fit_method,anchor_t,q_ratio_anchor,deviation_anchor,alpha_anchor
edges,2e-05,1.25e-05,8.953495039744465e-07,0.9993457580321087,30000.0,0.00017247406003060325,5,500,median_ratio,2000,0.9964892703743646,-0.003510729625635367,0.4965840326100462
edges,2e-05,2e-05,9.339328061545784e-07,0.999316240552959,30000.0,0.0001698118460657184,5,500,median_ratio,2000,0.9926688282980322,-0.007331171701967842,0.4933221341850926
edges,2e-05,2.75e-05,9.816910351017556e-07,0.9993652512444668,20000.0,0.0001671501071416533,5,500,median_ratio,2000,0.9893688077774748,-0.010631192222525176,0.4909186328827564
edges,2e-05,3.5000000000000004e-05,1.03497166898907e-06,0.9993213315751093,10000.0,0.0001644983597435928,5,500,median_ratio,2000,0.9870335988559988,-0.01296640114400116,0.4887765348543045
edges,5e-05,5e-06,8.689979664837022e-07,0.9993109262963683,40000.0,0.00017247587852377755,5,500,median_ratio,2000,1.0003431056062504,0.00034310560625039344,0.5003449105088326
edges,5e-05,1.25e-05,8.796908746089997e-07,0.9993700911550745,30000.0,0.00016583808421561025,5,500,median_ratio,2000,0.9996905174392815,-0.0003094825607184992,0.4993659239643499
edges,5e-05,2e-05,8.988659239526263e-07,0.9993776922620483,30000.0,0.0001591910927820057,5,500,median_ratio,2000,0.9987595382054897,-0.001240461794510317,0.4984075418059843
edges,5e-05,2.75e-05,9.257672263188897e-07,0.9993997757877846,20000.0,0.00015256427907540813,5,500,median_ratio,2000,0.99754747012944,-0.002452529870559994,0.49731528513089107
edges,5e-05,3.5000000000000004e-05,9.597299272865349e-07,0.9993100454526112,20000.0,0.00014593204171361917,5,500,median_ratio,2000,0.9958982727639627,-0.0041017272360373,0.49515585766757914
edges,8e-05,5e-06,8.682619335106239e-07,0.999368900344851,30000.0,0.00016982123970756945,5,500,median_ratio,2000,1.000413508880487,0.000413508880487079,0.5004500184225925
edges,8e-05,1.25e-05,8.749385003093471e-07,0.9994541318294147,30000.0,0.00015920852453881103,5,500,median_ratio,2000,1.000485417056243,0.00048541705624294273,0.4996740277509557
edges,8e-05,2e-05,8.875483426875578e-07,0.9994573533370057,20000.0,0.00014858220180010136,5,500,median_ratio,2000,0.9998649577409084,-0.00013504225909155565,0.49949471847469396
edges,8e-05,2.75e-05,9.056260649472146e-07,0.9994597623365046,20000.0,0.00013796900798424512,5,500,median_ratio,2000,0.999188430887717,-0.0008115691122829727,0.4988838600342079
edges,8e-05,3.5000000000000004e-05,9.290069532522267e-07,0.9993112874814789,9000.0,0.00012735617786324835,5,500,median_ratio,2000,0.9982372938543251,-0.0017627061456748638,0.4962698108648689
grooves,5e-06,5e-06,8.961309335453372e-07,0.9989570960595573,30000.0,0.00017601492221686033,5,500,median_ratio,2000,0.9859637216670984,-0.014036278332901553,0.4941963481031034
grooves,5e-06,1.25e-05,9.599916804360551e-07,0.9991138936298392,8000.0,0.0001746853382777325,5,500,median_ratio,2000,0.9717756072775667,-0.028224392722433267,0.4838121248676322
grooves,5e-06,2e-05,1.0249186302612071e-06,0.9991629292075496,5000.0,0.0001733547797712152,5,500,median_ratio,2000,0.9694792750487783,-0.03052072495122171,0.47888999251039455
grooves,5e-06,2.75e-05,1.0896636634688708e-06,0.9992006553968774,5000.0,0.0001720263404549347,5,500,median_ratio,2000,0.9706093794423205,-0.029390620557679492,0.47823286562114836
grooves,5e-06,3.5000000000000004e-05,1.1544286927429724e-06,0.9991637500314627,5000.0,0.00017069808868720154,5,500,median_ratio,2000,0.9723121352266633,-0.027687864773336734,0.4778208521381904
grooves,1e-05,5e-06,8.960311892877973e-07,0.999316410237924,30000.0,0.00017514459859543498,5,500,median_ratio,2000,0.9863142217738636,-0.01368577822613637,0.4941573213656413
grooves,1e-05,1.25e-05,9.600848360571658e-07,0.9990881763484053,9000.0,0.0001724504540693903,5,500,median_ratio,2000,0.9720431431779117,-0.02795685682208826,0.4841789007904977
grooves,1e-05,2e-05,1.0249849964094925e-06,0.9991154369983696,5000.0,0.00016981791146735285,5,500,median_ratio,2000,0.9697587998565526,-0.030241200143447444,0.47932502516252784
grooves,1e-05,2.75e-05,1.089759052389682e-06,0.9991670940586821,5000.0,0.0001671605947030227,5,500,median_ratio,2000,0.9708456922111156,-0.029154307788884393,0.4786204709329509
grooves,1e-05,3.5000000000000004e-05,1.1545491049467026e-06,0.9992046012521519,4000.0,0.0001645062871337503,5,500,median_ratio,2000,0.9720756340556149,-0.027924365944385077,0.4765082286297786
grooves,2e-05,5e-06,8.95767542817915e-07,0.9991137000800254,30000.0,0.0001733593688124102,5,500,median_ratio,2000,0.9865180853315518,-0.01348191466844817,0.4944348335956303
